instruction,context,response,category
what is the currenc in use in the netherland ?,,the currenc in use in the netherland is the euro .,open_qa
what is the best tv seri in the world,,dexter- the dexter is so excit to watch that it should be the best tv seri in the world,brainstorm
who wa the first to record the needl and pin song ?,"`` needl and pin '' is a rock song credit to american writer jack nitzsch and sonni bono . jacki deshannon record it in 1963 and other version follow . the most success one were by the searcher , whose version reach no . 1 on the uk singl chart in 1964 , and smoki , who had a worldwid hit in 1977 . other who record the song includ the ramon , gene clark , and tom petti and the heartbreak with stevi nick . jacki deshannon version ( 1963 ) in hi autobiographi , bono state that he sang along with nitzsch 's guitar-play , thu creat both the tune and the lyric , be guid by the chord progress . [ 1 ] howev , jacki deshannon claim that the song wa written at the piano , and that she wa a full particip in the song 's creation , along with nitzsch and bono , although she did not get formal credit . [ 2 ] [ 3 ] deshannon wa the first to record the song ; in the us it peak at number 84 on the billboard hot 100 singl chart in may 1963 . [ 4 ] though it wa onli a minor us hit , deshannon 's record of the song top the chart in canada , hit number one on the chum chart in juli 1963",the first artist to record needl and pin song wa deshannon .,closed_qa
provid me a list of the differ type of har use in rock climb,"differ type of climb warrant particular featur for har . sport climber typic use minimalist har , some with sewn-on gear loop . alpin climber often choos lightweight har , perhap with detach leg loop . big wall climber gener prefer pad waist belt and leg loop . there are also full bodi har for children , whose pelvis may be too narrow to support a standard har safe . these har prevent children from fall even when invert , and are either manufactur for children or construct out of web . some climber use full bodi har when there is a chanc of invert , or when carri a heavi bag . there are also chest har , which are use onli in combin with a sit har . test result from uiaa show that chest har do not put more impact on the neck than sit har , give them the same advantag as full bodi har . [ 6 ] apart from these har , there are also cave and canyon har , which all serv differ purpos . for exampl , a cave har is made of tough waterproof and unpad materi , with dual attach point . releas the maillon from these attach point loosen the har quickli . canyon har are somewhat like climb har , often without the pad , but with a seat protector , make it more comfort to rappel . these usual have a singl attach point of dyneema .","minimalist har : ha gear loop that are sewn on lightweight har : ha leg loop that are remov big wall har : use pad waist belt and leg loop full bodi har : mostli for children with small pelvis , or for scenario that risk invers chest har : to be use with a sit har cave har : made of ultra durabl materi and multipl attach point canyon har : ha a built-in seat protector for rappel .",summar
think of some famili rule to promot a healthi famili relationship,,use kind word be grate think of other befor yourself work hard be honest be thank keep your promis choos to be happi alway say ' i love you' be kind encourag each other,brainstorm
"in the seri a song of ice and fire , who is the founder of hous karstark ?",,karlon stark,open_qa
what is enrich air and whi would diver dive with enrich air ?,,"enrich air , also known as nitrox , is one kind of air with more than 21 % oxygen . 21 % oxygen is the normal air we breath on the earth . the primari benefit of use enrich air is to extend the diver 's bottom time , and reduc the need to push to no decompress limit . thi advantag is realli benefici in deeper dive . for exampl , at 80 feet of depth , normal air can last around 30 min , while enrich air of 32 % oxygen can last for 45 min and 36 % can last for 55 min . while enrich air is realli benefici in extend bottom time , it is import that diver get train to use it befor dive with enrich air .",general_qa
what film won the 1943 oscar as best film,,casablanca,open_qa
"which weigh more , cold or hot water ?",,cold water weigh more than hot water,open_qa
"given thi paragraph , what is the top speed of a kia stinger ?","kia claim that the stinger acceler from zero to 100 km/h ( 62 mph ) in 7.7 , 6 and 4.9 second for the 2.2-liter diesel , 2.0-liter petrol and 3.3-liter petrol respect . schreyer reportedli drove a pre-product stinger gt at a top speed of 269 km/h ( 167 mph ) on the autobahn . [ 9 ] dure a test by car and driver , an all-wheel-dr u.s. spec gt 3.3t with michelin pilot sport 4 tire achiev 0–60 mph ( 0–97 km/h ) in 4.6 second on the track , reach 0.91 g on the skidpad and wa abl to stop from 70 mph ( 113 km/h ) in 164 feet ( 50 m ) . accord to thi public , the u.s. model 's top speed is govern at 167 mph ( 269 km/h ) per kia spec . [ 11 ] in test conduct by motor trend , the four-cylind u.s. spec stinger 2.0 rwd on bridgeston potenza tire reach 60 mph ( 97 km/h ) in 6.6 second , complet the 1⁄4-mile ( 0.4 km ) run in 15 second and stop from 60 mph ( 97 km/h ) in 126 feet ( 38 m ) . the averag later acceler record in track test wa 0.85 g .",the top speed of a kia stinger is 269km/h ( 167mph ) accord to thi text .,closed_qa
